site,barcode,sdate,catch
BATH CHUTE,16009196,10/17/2008,1
RM 141.5,16011660,06/30/2014,1
TOWHEAD,16010398,08/12/2011,9
LAGRANGE TWZ,16007053,09/25/2002,5
WORLEY LK,16004746,06/18/1999,1
Peoria TWZ,16009958,09/27/2010,1
BELOW FREDRK,16004760,06/21/1999,13
N LILLYLAKE,16010406,08/17/2011,1
RM 85,16013555,07/18/2018,1
Peoria TWZ,16012153,08/21/2015,1
LILLY LAKE,16012238,09/30/2015,1
MATANZAS LKE,16001284,08/07/1995,1
SNICARTE SL.,16003425,09/10/1997,1
PEKIN RIVER,16006648,10/22/2001,7
CRANE LAKE,16012929,08/30/2016,4
BATH CH FIX,16004040,08/06/1998,11
CRYSTAL LAKE,16005989,10/27/2000,3
LA GRANGE TW,16006270,08/08/2001,4
Bath fixed,16007548,09/16/2003,1
LAGRANGE TWZ,16007186,10/29/2002,1
,-1600781,09/30/1992,1
SUGAR CREEK,16009970,10/11/2010,1
,16000317,09/23/1993,15
Bath Fixed,16009211,06/16/2008,13
LILY LK,16001985,08/01/1996,1
BIG LAKE,16011726,08/11/2014,1
COAL DOCK,16007068,09/26/2002,11
GOOSE LAKE,16009234,06/26/2008,1
TREADWAY,16012690,09/21/2016,1
,16000588,07/20/1994,10
PEORIA TWZ,16007933,09/27/2004,1
PEORIA TWZ,16001448,09/18/1995,2
DUCK ISLAND,16007181,10/24/2002,1
,-1600639,08/17/1992,1
BATH CHUTE,16011766,09/05/2014,1
BIG LAKE,16008556,10/11/2006,1
MEYERS DITCH,16008757,07/09/2007,1
Bath Fixed,16011206,07/10/2013,1
MATANZAS,16010791,08/16/2012,1
ABOVE LPOOL,16001496,10/05/1995,80
MATANZAS,16002745,10/21/1996,1
LA GRANGE,16001925,07/22/1996,1
Peoria TWZ,16008636,06/18/2007,24
,16000289,09/20/1993,2
PEORIA TWZ,16005898,10/11/2000,4
RM 81,16011733,08/25/2014,9
,-1600865,10/29/1992,3
crane lake,16007638,06/15/2004,1
SUGAR CK ISL,16001567,10/19/1995,8
CHAIN LAKE,16012133,08/07/2015,1
Bath Fixed,16013514,07/11/2018,1
Bath Chute,16008860,08/08/2007,1
,16000936,10/12/1994,1
MATANZAS,16003679,10/16/1997,5
BAR ISLAND,16009974,10/11/2010,1
Grape Island,16009290,08/05/2008,28
PEKIN RAMP,16003276,08/11/1997,6
PEORIA TWZ,16004797,06/30/1999,1
PEKIN,16009396,09/23/2008,1
RM 150,16012979,10/25/2016,1
U TREADWAY,16003665,10/14/1997,12
LIVERPOOL,16004152,09/03/1998,6
BATH CH FIX,16005715,08/30/2000,11
BATH CHUTE,16009925,08/19/2010,4
BATH CHUTE,16010149,09/16/2010,1
BATH CHUTE,16003933,07/07/1998,1
CRANE LAKE,16004016,08/03/1998,11
MATANZAS,16004073,08/14/1998,1
,16000615,07/27/1994,1
MATANZAS LKE,16001290,08/07/1995,16
RM 94.5,16012489,09/25/2015,1
TREADWAY,16008587,10/24/2006,1
MATANZAS,16012232,09/29/2015,1
BIG LAKE MC,16008535,10/03/2006,1
LIVERPOOL,16008426,08/04/2006,6
BATH CHUTE,16013091,08/30/2017,1
Banner SC,16007427,09/25/2003,1
wood yard,16007390,09/19/2003,1
SPRNG LAKE,16004167,09/09/1998,13
browning MCB,16007401,10/02/2003,1
MATANZAS LKE,16001458,09/25/1995,100
LAGRANGE,16006382,08/27/2001,3
TOP BATH CHT,16010572,10/10/2011,1
Peoria TWZ,16013635,09/13/2018,1
BATH CHUTE,16008898,08/30/2007,1
TREADWAY,16007895,09/20/2004,1
Bath Fixed,16009994,06/18/2010,1
,16000990,10/20/1994,1
MCB AND LAKE,16010352,07/18/2011,6
SUGAR CREEK,16004882,07/27/1999,5
NEAR CLEAR L,16001216,07/27/1995,13
BATH CHUTE,16005009,08/26/1999,3
TREADWAY,16007895,09/20/2004,20
TREADWAY,16013188,10/05/2017,1
ABOVE BROWNG,16006085,07/02/2001,15
Muscooten,16007199,07/11/2003,1
TREADWAYLAKE,16006957,08/26/2002,1
Bath Fixed,16008504,09/25/2006,1
MATANZASLAKE,16004892,07/29/1999,5
Peoria TWZ,16010384,08/09/2011,1
L BATH CHUTE,16004823,07/09/1999,38
,16000869,09/29/1994,5
,16000352,10/05/1993,376
,16000352,10/05/1993,21
RM 87,16011345,09/18/2013,1
Bath Fixed,16009052,09/25/2007,5
COON HOLLOW,16003574,09/23/1997,12
BATH CHUTE,16003379,09/03/1997,1
Peoria TWZ,16012153,08/21/2015,1
PEKIN LAKE,16008845,08/23/2007,2
,16000970,10/19/1994,5
EDWARDS STA,16005136,09/20/1999,1
CRYSTAL LAKE,16010831,08/27/2012,41
Peoria TWZ,16013050,07/10/2017,1
Peoria TWZ,16012137,08/10/2015,3
LILLY LAKE,16008152,08/09/2005,1
BATH CHUTE,16007763,08/03/2004,1
crystal lake,16007915,09/23/2004,1
BATH CH FIX,16004040,08/06/1998,11
TREADWAY,16005587,08/08/2000,2
RM 125,16011362,10/17/2013,2
BATH CHUTE,16010487,08/02/2011,3
LIVERPOOL,16008426,08/04/2006,124
 UP TREADWAY,16001085,06/22/1995,1
LAGRANGE TWZ,16005913,10/12/2000,3
BROWNING,16008803,08/10/2007,5
LIVERP DITCH,16004037,08/06/1998,12
BIG LAKE MC,16008535,10/03/2006,1
,16000339,09/30/1993,1
DUCK ISLAND,16006968,08/28/2002,34
,-1600796,10/05/1992,1
LAGRANGE TWZ,16008459,08/18/2006,1
CLEAR LAKE,16012691,09/22/2016,1
RM 120,16012530,10/21/2015,1
M BATH CHUTE,16003261,08/05/1997,14
TOWHEAD,16009048,09/26/2007,1
,16000380,10/14/1993,1
QUIVER LAKE,16005739,09/08/2000,2
DUCK ISLAND,16008456,08/15/2006,1
Bath Fixed,16013440,07/17/2017,1
LILY MCBU,16001848,06/28/1996,1
LILY LAKE,16005589,08/08/2000,1
HAVANA MC,16006322,08/13/2001,47
LAGRANGE TWZ,16006990,09/04/2002,2
RM 119,16013180,10/20/2017,1
,-1600832,10/13/1992,2
SOUTH OF CC,16006486,09/20/2001,2
TOWHEAD,16012846,07/11/2016,2
GRAND ISLAND,16009497,08/05/2009,1
BATH CH FIX,16005111,09/15/1999,9
BATH CHUTE,16011455,08/01/2013,2
bath chute,16007273,06/30/2003,1
TOWHEAD ISL,16008195,09/26/2005,1
BATH CHUTE,16013618,09/05/2018,1
BEARDSTOWN,16008617,09/21/2006,1
bath fix,16007749,07/06/2004,2
LILLY LAKE,16013763,06/26/2018,1
BANNER MC,16008088,08/01/2005,1
BAR ISLAND,16011570,09/16/2013,6
BAR ISLAND,16008221,10/03/2005,6
TREADWAY LK,16011943,08/12/2014,1
LILLY LAKE,16012064,10/27/2014,1
EMIQUON LEVY,16011384,06/17/2013,1
,-1600758,09/23/1992,1
below havana,16007659,06/18/2004,1
RM 126,16011990,08/08/2014,14
MATANZAS,16006779,07/03/2002,1
SENATE IS,16009171,10/10/2008,1
Peoria TWZ,16007566,10/10/2003,1
MATANZAS,16011835,10/16/2014,1
PEORIA TWZ,16005074,09/09/1999,1
LA GRANGETWZ,16003287,08/13/1997,19
BIG LAKE,16005801,09/25/2000,1
Below Bath,16007317,09/08/2003,2
BATH CHUTEFX,16006560,10/03/2001,15
BELOW BATH C,16009170,10/09/2008,1
BIG LAKE,16008839,08/21/2007,12
MATANZAS,16005291,10/22/1999,1
MUSCOOTEN,16003634,10/06/1997,1
BATH CHUTE,16006318,08/13/2001,15
BIG LAKE,16012140,08/10/2015,1
MEYERS DITCH,16006495,09/20/2001,1
GRAND ISL,16003249,08/05/1997,15
BATH FIX,16006439,09/13/2001,3
BEEBE LAKE,16005984,10/26/2000,8
BATH CHUTE,16008542,10/06/2006,1
TREADWAY,16012686,09/21/2016,1
COPPERAS,16008799,08/13/2007,37
MATANZAS,16004689,10/20/1998,1
MENDENHALLRD,16003944,07/10/1998,1
LA GRANGE,16005714,08/30/2000,6
,16000196,08/20/1993,7
SOUTH OF CC,16006486,09/20/2001,1
RM 143,16010300,07/08/2011,19
GRAND ISLAND,16009497,08/05/2009,1
PEORIA TWZ,16005885,10/10/2000,2
LAGRANGE TWZ,16006826,07/18/2002,1
LAMOINERIVER,16003599,10/01/1997,1
COPPERAS CRK,16010049,07/13/2010,1
CLEAR LAKE,16012693,09/22/2016,1
Peoria TWZ,16008422,08/03/2006,21
BATH FIXED,16004683,10/19/1998,5
Peoria TWZ,16009432,10/06/2008,1
CRANE LAKE,16002722,10/15/1996,1
BEARDSTOWN,16005522,07/28/2000,3
Bath Chute,16007344,08/15/2003,1
BAR ISLAND,16010403,08/16/2011,2
CHAIN LAKE,16008936,09/17/2007,1
BATH CHUTE,16006345,08/15/2001,4
RM 138.5,16012445,08/26/2015,12
PEORIA TWZ,16003420,09/10/1997,5
MATANZAS,16005980,10/26/2000,5
MATANZAS,16007138,10/09/2002,1
TREADWAY,16008929,09/19/2007,1
Peoria TWZ,16009259,07/10/2008,5
CRYSTAL LAKE,16005989,10/27/2000,1
GOOSE LAKE,16011935,08/01/2014,23
DUCK ISLAND,16012877,07/18/2016,1
GRAPE IS,16011606,09/26/2013,1
CLEAR LAKE,16012695,09/22/2016,1
MATANZAS,16003423,09/10/1997,1
GRAPE ISLAND,16006699,06/19/2002,1
PEORIA TWZ,16001306,08/10/1995,2
N LILLYLAKE,16010406,08/17/2011,1
COPPERAS CRK,16003585,09/25/1997,2
ABOVE BRWNG,16006086,07/02/2001,23
U TREADWAY,16001485,09/28/1995,5
BANNER,16006761,06/28/2002,10
LA GRANGE,16003727,10/28/1997,19
Matanzas,16007988,10/12/2004,1
PEORIA TWZ,16005074,09/09/1999,2
CRANE LAKE,16009310,08/14/2008,9
Bath Chute,16012557,07/20/2016,3
BEARDSTOWN,16008617,09/21/2006,1
TOWHEAD ISL,16006528,09/27/2001,2
RM 155,16011306,09/17/2013,28
BATH CHUTE,16013522,07/16/2018,1
LAGRANGE,16006650,10/22/2001,9
BAR ISLAND,16004845,07/19/1999,1
GRAPE ISLAND,16007923,09/20/2004,2
BAR ISLAND,16012233,09/30/2015,8
GRAPE IS,16011606,09/26/2013,1
SNICARTE SL,16001394,08/31/1995,11
MATANZAS,16011537,09/05/2013,2
BATH FIXED,16010401,08/15/2011,1
CRYSTAL LAKE,16010831,08/27/2012,2
RM 149,16013402,09/28/2017,1
BEARDSTOWN,16008658,06/22/2007,1
MATANZAS,16004898,07/29/1999,10
PEORIA TWZ,16002056,08/14/1996,9
,-1600254,07/22/1991,1
U TREADWAY,16001485,09/28/1995,15
GRAPE IS,16006867,08/13/2002,16
,16000533,07/11/1994,1
TOWHEAD,16008148,08/05/2005,1
RM100,16012142,08/12/2015,1
TOWHEAD ISL,16006448,09/14/2001,70
,-1600748,09/21/1992,1
towhead,16007930,09/24/2004,1
TOWHEAD,16012439,08/24/2015,2
BIG LAKE,16009517,08/14/2009,1
TREADWAY,16004131,08/31/1998,6
SNICARTE SLU,16003978,07/20/1998,1
GRAPE ISLAND,16008218,10/03/2005,9
,-1600799,10/05/1992,4
CRANE LAKE,16006946,08/26/2002,15
TOWHEAD,16008196,09/26/2005,1
RM 133,16011117,09/19/2012,1
RM 89,16010595,10/24/2011,1
clear lk mcb,16007391,09/19/2003,1
clear lk mcb,16007391,09/19/2003,1
RM 123,16012848,07/11/2016,24
SNICARTE,16005285,10/21/1999,1
LAGRANGE TWZ,16001492,10/02/1995,1
FREDERICK,16004705,10/28/1998,3
COAL DOCK,16003652,10/10/1997,1
PEKIN ENERGY,16009990,06/15/2010,1
CRANE LAKE,16012484,09/24/2015,1
GRAPE ISLAND,16008619,09/22/2006,4
LAGRANGE TWZ,16003886,06/29/1998,2
BANNER MARSH,16005479,07/21/2000,2
LILY LAKE,16011610,09/26/2013,1
GRAPE/BAR,16013256,07/12/2017,24
LAGRANGE TWZ,16005470,07/19/2000,1
GRAND ISLAND,16009425,10/02/2008,1
BAR ISLAND,16006698,06/19/2002,2
GRAPE ISLAND,16009289,08/06/2008,601
LAGRANGE TWZ,16003044,06/27/1997,1
Towhead Is,16007429,10/10/2003,8
TREADWAY LK,16011943,08/12/2014,4
BATH CH FIX,16005927,10/17/2000,2
Bath Fixed,16012443,08/25/2015,1
PEORIA TWZ,16004709,10/29/1998,1
BATH CHUTE,16010147,09/16/2010,1
,-1600795,10/05/1992,1
TOWHEAD,16011837,10/17/2014,1
Towhead,16007929,09/24/2004,1
below plant,16011005,07/17/2012,5
MYERS DITCH,16010918,10/15/2012,1
BATH CHUTE,16005474,07/20/2000,2
Bath Fixed,16011402,06/20/2013,1
RM 88,16013038,07/19/2017,16
peoria twz,16007525,09/02/2003,1
,-1600050,08/22/1990,1
ABOVE LVPOOL,16002760,10/24/1996,33
worley lake,16007655,06/17/2004,1
Mendenhal,16007818,08/09/2004,1
Caterpillar,16007222,07/21/2003,1
CRANE LAKE,16010490,09/02/2011,1
MATANZAS,16008162,08/10/2005,1
RM 107,16011596,09/24/2013,1
BELOW P DAM,16003852,06/18/1998,1
BAR IS,16003960,07/14/1998,31
,16000172,08/10/1993,6
MEYERS,16012472,09/16/2015,1
Bar Grape Is,16011133,10/09/2012,3
Bar Grape Is,16011133,10/09/2012,1
BATH CHUTE,16009132,08/04/2008,1
MATANZAS,16008442,08/11/2006,35
RM 137,16011917,07/07/2014,1
STEWART MC,16006971,08/29/2002,1
FREDERICK,16001096,06/23/1995,5
CLEAR LAKE,16005322,06/15/2000,2
MUSCOOTENBAY,16006564,10/04/2001,16
RM 120,16013053,08/14/2017,1
Bath fixed,16007888,09/03/2004,1
,-1600185,06/24/1991,1
LILLY LAKE,16008326,10/13/2005,1
,-1600738,09/15/1992,9
FREDERICK,16004705,10/28/1998,12
BEARDSTOWN,16005083,09/13/1999,2
BELOW BATH,16006058,06/25/2001,1
SUGAR CREEK,16006147,07/12/2001,2
TOWHEAD,16008196,09/26/2005,1
LA GRANGETWZ,16003395,09/04/1997,1
SPRING MCBU,16005499,07/25/2000,6
BATH CHUTE,16008417,08/02/2006,2
Bath Fixed,16011715,08/07/2014,1
S OF GRAPE,16010405,08/16/2011,1
TOWHEAD ISL,16001809,06/24/1996,1
clear lk mcb,16007394,09/19/2003,64
LILY LAKE,16006196,07/23/2001,1
Grand Island,16007397,10/09/2003,1
STEWART,16012922,08/29/2016,3
BAR ISLAND,16013572,08/06/2018,8
,-1600445,10/09/1991,4
TOWHEAD,16008561,10/13/2006,9
,16000945,10/14/1994,1
,16000051,07/01/1993,1
MC BELOW GRD,16003936,07/08/1998,4
TOWHEAD,16007943,09/27/2004,1
,-1600439,10/09/1991,7
,-1600635,08/13/1992,1
BROWNING,16009219,06/18/2008,4
MATANZAS,16004193,09/11/1998,2
TREADWAY,16006336,08/14/2001,1
panther sl,16008713,07/09/2007,2
PEORIA TWZ,16006434,09/13/2001,1
LILY LAKE,16011610,09/26/2013,1
BATH CHUTE,16003932,07/07/1998,27
TREADWAY,16006815,07/15/2002,22
BEARDSTOWN,16009041,10/01/2007,1
EDWARD STATI,16009135,08/05/2008,98
BAR ISLAND,16012621,08/23/2016,1
BATH CHUTE,16013092,08/30/2017,4
BATH CHUTE,16004660,10/14/1998,1
LA GRANGE,16002086,08/21/1996,1
BATH CHUTE,16009036,10/12/2007,1
BLW PEO TWZ,16011488,08/13/2013,116
CRANE LAKE,16009385,09/22/2008,1
CLEAR LAKE,16005328,06/19/2000,3
Towhead,16013224,06/20/2017,7
QUIVER LAKE,16004957,08/16/1999,3
-,16005029,08/30/1999,1
MATANZAS,16009738,08/27/2009,1
U BATH CHUTE,16001258,08/04/1995,6
PEKIN LAKE,16009395,09/23/2008,1
TREADWAY,16008587,10/24/2006,1
TREADWAY,16008587,10/24/2006,1
ABOVE BATH,16010971,06/27/2012,1
TOWHEAD,16011919,07/07/2014,2
BELOW GRANDI,16004010,08/05/1998,16
MATANZAS,16003411,09/08/1997,5
LA GRANGETWZ,16004684,10/19/1998,2
LILLY LAKE,16008326,10/13/2005,1
TURKEY ISLE,16013689,09/28/2018,2
BROWNING,16009040,10/01/2007,1
TREADWAY LAK,16008910,08/14/2007,1
PEORIA TWZ,16004908,07/29/1999,1
Peoria TWZ,16011716,08/11/2014,2
LAMARSH MCB,16004769,06/24/1999,2
LILY LK,16005098,09/13/1999,6
QUIVER ISL,16005503,07/25/2000,5
RM129,16013453,06/18/2018,1
LILY LAKE,16009513,08/13/2009,1
TOWHEAD,16011837,10/17/2014,1
COAL CK MCB,16005324,06/16/2000,5
RM 112,16013042,08/02/2017,3
BATH CHUTE,16008664,06/15/2007,24
Peoria TWZ,16009259,07/10/2008,387
FREDERICK,16008197,09/27/2005,1
FREDERICK,16008197,09/27/2005,1
,16000798,08/31/1994,1
MATANZASLAKE,16004857,07/22/1999,3
COPPERAS CK,16001952,07/25/1996,1
LAGRANGE TWZ,16005142,09/24/1999,2
BIG LAKE,16011703,07/24/2014,54
COON HOLLOW,16008210,09/29/2005,1
BIG LAKE,16006247,08/06/2001,92
TOWHEAD,16006202,07/24/2001,2
BATH CHUTE,16011590,09/23/2013,2
,16000403,10/22/1993,1
grand island,16009053,09/25/2007,11
GRAPE/BAR,16013033,07/19/2017,47
PEORIA TWZ,16006417,09/07/2001,5
Havana MC,16011126,09/24/2012,1
QUIVER ISL,16005503,07/25/2000,1
BATH CHUTE,16010590,10/25/2011,1
LIVERPOOL,16009345,08/29/2008,1
CRANE LAKE,16002022,08/08/1996,1
PEKIN BOAT,16009297,08/11/2008,164
CRANE LAKE,16012484,09/24/2015,1
BATH CH,16005928,10/17/2000,3
RM 138.5,16012445,08/26/2015,7
COON HOLLOW,16013612,09/04/2018,3
BIG LAKE,16009909,08/11/2010,625
,16000398,10/21/1993,1
clear lake,16007286,08/04/2003,1
grape Island,16007426,10/02/2003,8
STEWART LAKE,16009454,06/18/2009,1
TREADWAY,16004132,08/31/1998,7
TOWHEAD SC,16010383,08/08/2011,3
PEKIN LAKE,16009911,08/12/2010,1
PEORIA TWZ,16003885,06/25/1998,2
bar grape is,16011045,08/17/2012,1
Chain LK MC,16007227,07/25/2003,1
RM 130,16013387,09/18/2017,1
PEKIN LAKE,16004748,06/18/1999,3
,-1600797,10/05/1992,1
RM 136,16013779,07/09/2018,5
BAR ISLAND,16013592,08/07/2018,34
BATH CHUTE,16009925,08/19/2010,3
TREADWAY,16008063,08/04/2005,1
,16000234,09/02/1993,1
matanzas,16007983,10/05/2004,1
,-1600417,09/30/1991,10
,16000238,09/03/1993,2
BEARDSTOWN,16005974,10/25/2000,1
CAT DITCH,16004955,08/13/1999,2
below bar Is,16007341,09/09/2003,17
KINGSTON MN,16006760,06/28/2002,2
bath chute,16007664,07/06/2004,1
Grand Island,16007397,10/09/2003,1
N LILLYLAKE,16010406,08/17/2011,1
N LILLYLAKE,16010406,08/17/2011,1
TREADWAY,16012510,10/12/2015,1
RM 126,16012132,08/05/2015,5
LILY LAKE,16006612,10/12/2001,2
TOWHEAD,16005957,10/23/2000,1
BAR ISLAND,16008221,10/03/2005,22
ANDERSON LK,16005004,08/25/1999,2
CAT DITCH,16011309,09/17/2013,56
DUCK ISLAND,16009018,10/16/2007,1
BATH CHUTE,16009315,08/18/2008,1
MATANZAS,16004012,08/03/1998,1
BATH CHUTE,16003144,07/24/1997,3
TOWHEAD,16012846,07/11/2016,270
banner sc,16007428,09/25/2003,1
Peoria TWZ,16008538,10/05/2006,1
BELOW LILY,16001986,08/01/1996,1
PEORIA TWZ,16001418,09/06/1995,4
,-1600525,06/23/1992,2
clear lk mcb,16007391,09/19/2003,1
MATANZAS,16011757,09/02/2014,4
CAT MCBU,16008795,08/13/2007,1
,16000238,09/03/1993,1
BAR ISLAND,16010403,08/16/2011,4
RM 124,16011631,10/09/2013,1
MEYERS DITCH,16006495,09/20/2001,90
BATH CHUTE,16003553,09/18/1997,2
BATH CHUTE,16003553,09/18/1997,2
L POWERTON,16010125,08/23/2010,1
TREADWAY,16011789,09/23/2014,1
Peoria TWZ,16008589,10/25/2006,1
PEORIA TWZ,16004635,10/07/1998,4
BIG LAKE,16006572,10/04/2001,1
TREADWAY,16012488,09/25/2015,1
CLEAR LAKE,16012693,09/22/2016,1
PEORIA TWZ,16005048,09/02/1999,5
CHAUTAUQUA,16009627,06/29/2009,1
BATH CHUTE,16008859,08/08/2007,1
BATH CHUTE,16008859,08/08/2007,1
COON HOLLOW,16013492,06/28/2018,1
MATANAZAS,16009264,08/01/2008,1
CAT DITCH,16011940,08/04/2014,5
,-1600536,06/29/1992,319
,16000051,07/01/1993,1
BAR ISLAND,16005145,09/24/1999,32
BATH CHUTE,16008541,10/06/2006,1
TREADWAY,16009952,09/23/2010,1
GRAPE ISLAND,16006865,08/13/2002,13
BATH CH FIX,16004910,07/30/1999,6
havana mcb,16007773,08/05/2004,2
PEORIA TWZ,16003539,09/16/1997,1
TOWHEAD,16007943,09/27/2004,1
QUIVER ISL,16005501,07/25/2000,1
SUGAR CREEK,16009970,10/11/2010,1
COON HOLLOW,16005171,10/04/1999,11
TURKEY IS,16005304,10/25/1999,1
Bath Chute,16007796,08/03/2004,21
TREADWAY,16012437,08/18/2015,2
TREADWAY,16012615,08/22/2016,2
MCBU FREDRCK,16005609,08/14/2000,2
PEORIA TWZ,16005620,08/15/2000,15
TOWHEAD IS,16011106,08/20/2012,1
RM 147,16013688,09/28/2018,1
GRAPE ISLAND,16008659,06/22/2007,1
Bath Fixed,16007491,07/10/2003,1
bath chute,16007777,08/06/2004,3
TOWHEAD,16009328,08/18/2008,1
,-1600575,07/15/1992,1
LAGRANGE TWZ,16004889,07/28/1999,18
PEORIA TWZ,16005023,08/30/1999,1
,-1600217,07/10/1991,1
L BATH CHUTE,16004823,07/09/1999,94
WOODYARD,16004071,08/12/1998,14
Bath Fixed,16013642,09/20/2018,1
Bath Fixed,16007491,07/10/2003,1
crane lake,16007637,06/15/2004,1
banner sc,16007428,09/25/2003,1
banner sc,16007428,09/25/2003,1
LA GRANGETWZ,16003287,08/13/1997,1
COAL CK,16005681,08/28/2000,2
,-1600438,10/09/1991,34
MATANZAS,16013634,09/07/2018,1
LAGRANGE TWZ,16004974,08/18/1999,8
Kingston Min,16007415,09/23/2003,1
RM 130,16013386,09/18/2017,1
Peoria TWZ,16009958,09/27/2010,1
,16000167,08/06/1993,7
,16000396,10/19/1993,12
RM 91,16011254,08/20/2013,7
TREADWAY,16012617,08/22/2016,6
SUGER CREEK,16013059,08/15/2017,1
BATH CHUTE,16004541,09/17/1998,1
FREDERICK,16008197,09/27/2005,1
LAGRANGE TWZ,16006696,06/19/2002,3
TREADWAY LAK,16008910,08/14/2007,1
,16000939,10/12/1994,3
CLEAR LAKE,16005328,06/19/2000,4
MATANZAS,16008601,10/27/2006,1
MATANZAS,16004983,08/19/1999,1
FREDRICK,16003327,08/22/1997,1
RM 115,16013566,08/15/2018,3
,16001023,10/25/1994,1
STEWART MC,16005110,09/14/1999,4
COON HOLLOW,16009484,07/02/2009,8
FREDERICK,16008615,09/21/2006,1
,16001007,10/24/1994,2
LAGRANGE TWZ,16004867,07/23/1999,2
CHAIN LAKE,16008924,09/17/2007,1
DUCK ISLAND,16011485,08/12/2013,1
BATH CHUTE,16003394,09/04/1997,3
towhead,16007657,06/18/2004,1
Peoria TWZ,16007502,06/20/2003,2
TOWHEAD,16008380,08/10/2006,6
RM 88,16013259,07/12/2017,1
,-1600645,08/19/1992,5
MATANZAS,16005982,10/26/2000,2
BROWNING,16005834,09/29/2000,3
Peoria TWZ,16009901,08/06/2010,1
BATH FIX,16005723,09/05/2000,3
GRAPE/BAR,16011607,09/26/2013,1
TOWHEAD IS,16001243,08/01/1995,17
TREADWAY LK,16011465,08/05/2013,1
towhead,16008964,09/26/2007,1
BATH CHUTE,16006443,09/13/2001,1
BATH FIXED,16006057,06/25/2001,1
Banner SC,16007427,09/25/2003,1
Bath Fixed,16009249,07/07/2008,1
BAR ISLAND,16008661,06/22/2007,1
MATANZAS,16013584,08/27/2018,1
LAMOINE,16008904,08/29/2007,12
Bath fixed,16007516,08/27/2003,1
BORROW ISLE,16013613,09/04/2018,1
LIVERPOOL,16006352,08/16/2001,2
BATH CHUTE,16010402,08/15/2011,1
TOWHEAD,16012439,08/24/2015,4
,16000166,08/06/1993,3
LAGRANGE TWZ,16006559,10/03/2001,3
BATH CHUTE,16009858,06/15/2010,4
Towhead,16007929,09/24/2004,17
DUCK ISLAND,16011483,08/12/2013,1
RM 141,16013263,07/20/2017,1
MATANZAS LKE,16001624,10/25/1995,3
RM 88,16013259,07/12/2017,40
MUSCOOTUN,16013865,10/15/2018,1
MENDENHALL,16008781,08/07/2007,1
RM 81,16011733,08/25/2014,3
MATANZAS,16008999,10/04/2007,1
BATH CHUTE,16006410,09/04/2001,3
Peoria TWZ,16009209,10/27/2008,1
LILLY LAKE,16007911,09/21/2004,2
LILLY LAKE,16008477,08/21/2006,3
SNICARTE,16012030,09/16/2014,1
BIG LAKE,16006045,06/25/2001,1
,16000989,10/20/1994,1
TREADWAYLAKE,16006957,08/26/2002,2
MEYERS DITCH,16010645,10/13/2011,1
TOWHEAD,16012943,10/04/2016,1
Bath Fixed,16008666,06/15/2007,1
BANNER MARSH,16005497,07/25/2000,1170
BANNER MARSH,16005497,07/25/2000,1
RM 147,16013688,09/28/2018,1
bath chute,16007779,08/02/2004,1
BAR ISLAND,16008112,08/04/2005,17
RM 87,16012240,09/30/2015,1
LILLY LAKE,16008326,10/13/2005,1
BEEBE LAKE,16002087,08/22/1996,136
LIVERPOOL,16004701,10/26/1998,2
BAR ISLAND,16012476,09/21/2015,1
lily lake,16007715,06/28/2004,1
Peoria TWZ,16010143,09/03/2010,1
,-1600621,08/05/1992,18
RM 148,16013534,07/25/2018,12
,16000796,08/31/1994,1
BATH FIXED,16006057,06/25/2001,1
QUIVER ISLND,16006444,09/14/2001,2
EDWARD STATI,16009135,08/05/2008,42
DUCK ISLAND,16008264,10/18/2005,1
PATTERSON,16012551,06/27/2016,1
BIG LAKE,16001298,08/10/1995,1
MATANZAS,16012940,09/08/2016,1
FREDERICK,16008899,08/29/2007,1
LAGRANGE,16006859,08/12/2002,2
RM 127,16011836,10/17/2014,1
QUIVER LAKE,16001228,08/01/1995,1
bath chute,16007662,06/21/2004,1
BATH CHUTE,16011263,08/22/2013,34
Peoria TWZ,16011704,07/24/2014,2
Bath Chute,16007344,08/15/2003,1
BANNER SCB,16006055,06/25/2001,1
NORTH OF CC,16006481,09/20/2001,24
,-1600728,09/10/1992,1
LILY LAKE,16003687,10/17/1997,2
BATH CHUTE,16009212,06/16/2008,5
DUCK ISLAND,16008681,06/29/2007,1
,16000532,07/11/1994,6
COAL CK,16001571,10/19/1995,1
Bath Fixed,16011715,08/07/2014,1
CRANE LAKE,16012484,09/24/2015,1
PEORIA TWZ,16003943,07/10/1998,6
BATH CHUTE,16013092,08/30/2017,1
ABOVE LAGRAN,16004708,10/28/1998,4
COON HOLLOW,16002784,10/30/1996,29
BATH CHUTE,16010772,06/22/2012,1
LA GRANGE,16004575,09/24/1998,32
MUSCOOTEN,16012479,09/21/2015,1
BROWNING,16007187,10/30/2002,11
CRANE LAKE,16005357,06/22/2000,1
Bath Fixed,16008540,10/06/2006,1
BELOW BC,16007066,09/26/2002,4
PANTHER SLGH,16010264,06/29/2011,1
BANNER,16008089,08/01/2005,15
BATH CH,16002665,10/02/1996,2
LILY LK MCB,16009964,10/07/2010,1
TOWHEAD,16009375,09/10/2008,1
BATH FIXED,16004852,07/20/1999,2
PEORIA TWZ,16007024,09/20/2002,1
CRYSTAL LAKE,16010145,09/03/2010,2
MEYERS DITCH,16004068,08/12/1998,1
U BATH CH,16001629,10/25/1995,4
DUCK ISLAND,16012507,10/06/2015,9
