site,barcode,sdate,catch
L BATH CHUTE,16001501,10/06/1995,1
LAGRANGE TWZ,16004974,08/18/1999,7
PEKIN BOAT,16008087,08/01/2005,1
BANNER SC,16008212,09/29/2005,1
UCK ISLAND,16008033,10/20/2004,1
Peoria TWZ,16008538,10/05/2006,1
BIG LAKE,16005689,08/28/2000,6
Peoria TWZ,16013457,06/19/2018,4
RM 94.5,16012489,09/25/2015,1
BATH FIXED,16007038,09/23/2002,1
BATH CHUTE,16011269,08/22/2013,4
BEARDSTOWN,16008617,09/21/2006,1
QUIVER LAKE,16008702,06/29/2007,27
Peoria TWZ,16008775,08/07/2007,1
TOWHEAD ISL,16008195,09/26/2005,1
BATH CHUTE,16011401,06/20/2013,1
CHAUTAUQUA,16008193,09/26/2005,1
RM 131,16012350,07/13/2015,3
Peoria TWZ,16009983,06/15/2010,1
bath fix,16007760,08/03/2004,30
DUCK ISLAND,16008683,06/29/2007,37
TREADWAY,16012543,06/21/2016,1
LA GRANGE,16001566,10/18/1995,3
LA GRANGE,16001566,10/18/1995,3
,16000585,07/19/1994,2
Muscooten,16007199,07/11/2003,1
BEEBE LAKE,16005984,10/26/2000,3
,-1600239,07/16/1991,2
CHAUTAUQU MC,16002759,10/24/1996,1
ABV BROWNING,16010031,07/02/2010,4
TOWHEAD,16012943,10/04/2016,1
LILY LAKE,16008458,08/18/2006,1
RM 81,16012901,08/08/2016,18
BATH CHUTE,16009216,06/16/2008,1
CRANE LAKE,16012929,08/30/2016,1
Bath Chute,16007420,09/29/2003,1
TREADWAYLAKE,16005612,08/14/2000,1
matanzas,16011022,07/23/2012,87
RM 111,16012540,10/26/2015,1
,16000340,09/30/1993,2
LIVERPOOLMCB,16004032,08/06/1998,1
TREADWAY LAK,16008912,08/14/2007,1
LAKE PEKIN,16012685,09/20/2016,1
,16000749,08/23/1994,1
Turkey,16013636,09/13/2018,4
,16000229,08/31/1993,1
MATANZAS,16013634,09/07/2018,1
bath chute,16007661,06/21/2004,1
bath chute,16007661,06/21/2004,1
L TREADWAY,16001534,10/13/1995,1
TREADWAY LKE,16008938,09/17/2007,1
LILLY LAKE,16013171,10/19/2017,1
MATANZAS,16004193,09/11/1998,3
RM 151,16013403,09/28/2017,1
TOWHEAD,16009897,08/03/2010,6
CRANE LAKE,16009385,09/22/2008,1
clear lk mcb,16007391,09/19/2003,1
RM 87,16011345,09/18/2013,1
MATANZAS,16008791,08/10/2007,1
U BATH CH,16001629,10/25/1995,1
ANDERSON LK,16011399,06/20/2013,6
TREADWAY,16012437,08/18/2015,7
,16000291,09/20/1993,767
BANNER,16008686,06/29/2007,1
RM 130,16013386,09/18/2017,1
SPRING LAKE,16004825,07/12/1999,1
PATTERSON BA,16009451,06/18/2009,1
HAVANA,16008654,06/21/2007,1
BIG LAKE,16013557,08/13/2018,1
BATH CHUTE,16010402,08/15/2011,1
BATH CHUTE,16006818,07/16/2002,884
TOWHEAD ISL,16004102,08/24/1998,2
MCB AND LAKE,16010352,07/18/2011,4
BATH CHUTEFX,16006560,10/03/2001,1
TREADWAY,16004131,08/31/1998,1
PEORIA TWZ,16004160,09/08/1998,4
CRANE LAKE,16005425,07/10/2000,10
TOWHEAD,16012943,10/04/2016,1
PEKIN,16005166,10/01/1999,18
RM 92,16010594,10/24/2011,1
HAVANA,16008150,08/05/2005,2
PEORIA TWZ,16008180,08/15/2005,1
COON HOLLOW,16004697,10/22/1998,1
PEKIN LAKE,16001299,08/10/1995,302
BEEBE LAKE,16006581,10/04/2001,1
EDWARDS ST.,16004001,08/03/1998,1
Peoria TWZ,16008589,10/25/2006,1
GRAND ISLAND,16007822,08/16/2004,9
CRANE LAKE,16005204,10/12/1999,5
peoria twz,16007722,07/08/2004,3
TOWHEAD,16008446,08/09/2006,9
Peoria TWZ,16012917,08/11/2016,77
LAGRANGE TWZ,16001309,08/14/1995,1
BAR ISLAND,16004170,09/10/1998,10
,16000940,10/12/1994,3
RM 157,16010334,07/11/2011,39
Peoria TWZ,16013768,07/02/2018,1
TOWHEAD IS,16003560,09/18/1997,2
Bath Chute,16013461,06/20/2018,73
snicarte sl,16007297,08/19/2003,1
MATANZAS,16011537,09/05/2013,1
FREDERICK,16008615,09/21/2006,1
GRAPE ISLAND,16012423,08/17/2015,1
PEORIA TWZ,16003273,08/11/1997,43
WOOD SLOUGH,16005676,08/28/2000,1
QUIVER,16013296,08/14/2017,1
PEKIN Lake,16007316,08/14/2003,3
Grape Island,16007425,10/02/2003,7
BAR ISLAND,16009288,08/06/2008,2
U LILY LK,16001352,08/22/1995,1
PEORIA L&D,16004100,08/20/1998,9
Bath Chute,16007335,09/03/2003,3
QUIVER LAKE,16006426,09/10/2001,15
TREAD WAY,16010023,07/01/2010,1
PEORIA TWZ,16003718,10/22/1997,1
BAR ISLAND,16004862,07/22/1999,1
BATH CHUTE,16009926,08/19/2010,1
BATH CHUTE,16007176,10/23/2002,1
BATH CHUTE,16005901,10/11/2000,4
SENATE ISLA,16005179,10/04/1999,9
BATH CHUTE,16004014,08/03/1998,15
BELOW HAVANA,16009422,10/02/2008,1
,16000355,10/06/1993,1
,16000380,10/14/1993,3
MATANZAS,16012201,09/08/2015,1
grape is,16011047,08/17/2012,1
NORTH OF TI,16006535,09/27/2001,1
CHAIN LAKE,16009218,06/18/2008,1
Peoria TWZ,16008538,10/05/2006,1
RM 120,16013053,08/14/2017,2
U BATH CHUTE,16003048,06/30/1997,35
,-1600027,08/13/1990,1
LILY LAKE,16009927,08/26/2010,13
MUSCOOTEN,16003634,10/06/1997,5
,-1600184,06/24/1991,1
beow Sugar C,16007312,09/08/2003,2
WOOD SLOUGH,16006282,08/09/2001,1
LILY LAKE,16006196,07/23/2001,2
ABV BROWNING,16010031,07/02/2010,4
CAT DITCH,16009173,10/10/2008,1
MUSCOOTEN BY,16001195,07/24/1995,1
ABV BROWNING,16010031,07/02/2010,1
MEYERS DITCH,16008549,10/10/2006,1
Bath Fixed,16012141,08/12/2015,1
TOWHEAD IS,16001423,09/11/1995,1
Peoria TWZ,16012684,09/20/2016,1
COPPERAS,16008594,10/26/2006,1
MATANZAS MCB,16005507,07/26/2000,12
LAGRANGE,16009514,08/13/2009,2
PEORIA TWZ,16006585,10/04/2001,1
BATH CHUTE,16011103,08/24/2012,3
MATANZAS,16008440,08/11/2006,1
